TIME,RESPONSETIME
379.562752,3.286889
379.803633,1.858360
379.908983,4.089886
380.009401,2.105345
380.529930,8.195335
380.943398,3.542131
381.118039,2.434412
382.237684,2.423202
382.413486,3.843059
382.640761,3.165632
383.233965,4.467309
383.283776,3.565395
383.698246,5.407840
384.250375,3.493316
384.522238,2.282274
384.666419,4.168097
385.003083,3.086924
385.793678,2.812330
385.848872,4.731940
386.109802,6.601172
386.329531,6.682351
386.597487,3.924683
386.841773,4.085954
386.874818,7.731288
386.945215,3.727544
387.330051,16.635744
388.508595,2.605115
388.927262,2.697215
388.994656,2.318851
389.328839,10.095508
389.595685,4.039787
390.352337,5.454786
390.374284,6.064608
390.446319,2.351533
390.673070,8.877455
391.568733,6.788390
391.781739,2.006993
391.954851,4.996975
392.438613,1.760599
393.502482,3.325917
393.590510,2.343808
394.989850,3.662162
395.243064,9.009241
395.477564,3.162009
395.692816,4.571061
396.049405,4.329351
396.400164,5.326498
396.480375,3.572461
396.759808,1.394185
396.761233,7.020658
396.838072,4.744535
397.274534,3.501107
398.231523,3.460078
398.335881,6.110011
398.606996,19.295707
398.795845,4.037458
398.948083,6.462305
399.663382,3.519109
399.746701,10.683484
399.821031,19.369969
399.824426,4.179561
399.947533,7.792304
400.049946,3.225288
400.640460,5.976792
400.703026,8.605786
401.058961,2.415805
401.228446,2.137803
402.321432,1.826887
402.869317,5.463053
403.179025,2.113212
404.352412,4.901313
405.152866,4.279053
405.447431,4.052369
405.670265,2.685616
406.047784,4.155705
406.681257,11.236463
407.110232,10.543960
407.198066,3.851664
407.464025,8.841899
407.633972,5.172333
407.688061,9.442567
408.591050,11.144124
408.676820,10.948249
409.131533,3.074900
409.562062,2.742266
410.101776,10.616175
410.102247,10.552011
410.289435,6.208240
410.605397,9.552289
410.986387,4.723792
411.336165,5.996499
411.871031,10.169456
412.770214,3.347425
412.807518,3.045088
412.876705,4.804967
413.042764,7.089465
413.142442,10.423125
413.164269,3.491831
413.185880,9.053481
413.670245,5.344520
415.021982,5.465989
415.411778,5.874136
415.531276,2.283924
416.014203,7.963306
416.098181,4.777000
416.165658,5.111360
416.861751,5.125532
417.213558,2.415791
417.222709,9.503572
417.455899,9.724257
417.707064,1.546050
417.924531,10.728088
417.986395,3.116836
418.570544,3.037858
419.172387,12.674918
419.864039,1.723600
420.216221,5.359492
421.175274,1.790404
421.182165,4.400668
421.826036,7.226054
421.977122,13.437889
422.435287,5.514975
422.512656,4.417254
423.666372,3.693897
424.154474,3.786789
424.342763,2.614237
424.355674,5.296954
424.414771,1.833444
424.785650,4.629367
425.045043,3.112407
425.048176,34.898191
425.346541,4.483092
425.474458,1.844148
425.726770,6.367237
426.135265,12.612211
426.356542,3.195657
426.815875,2.931265
426.998956,1.812654
428.238595,17.153092
428.797180,9.898159
429.020544,8.636834
429.107625,3.048302
429.234944,7.940425
429.476366,3.610496
429.503228,6.072128
429.961434,3.033864
431.085682,6.093804
431.229838,2.601167
431.541582,2.871406
431.569785,13.492054
431.795373,7.907991
432.124429,9.682232
432.193388,6.038633
433.150398,2.165273
433.481849,2.020615
433.728299,4.184709
433.915978,3.316919
434.255334,8.343208
434.434692,4.882491
434.821338,29.466621
434.865275,3.842661
435.770401,7.955280
435.799063,5.187793
435.949572,1.900407
436.071996,5.336322
436.158986,9.606911
436.182069,4.959315
438.021920,4.898675
438.160031,16.187194
438.182103,5.459379
438.255443,7.753448
438.530979,3.575490
439.357828,4.587158
439.729438,4.503792
440.185743,5.068913
440.234139,3.806216
440.503884,9.381470
440.553980,2.854311
440.660350,21.109567
441.517358,2.297815
441.569993,13.001399
442.329241,5.051899
442.339518,4.839711
442.375484,4.064769
442.696972,5.588146
442.888557,11.323159
443.286790,2.909704
444.354097,7.255810
444.527276,3.068624
444.640180,7.165127
445.047472,10.674959
445.586628,13.363705
446.154290,6.277529
446.289780,6.371555
446.502573,6.524661
446.650211,7.281519
446.727113,5.802289
447.439161,11.052223
447.751675,10.204308
448.214715,6.407194
448.885645,6.336084
449.167680,7.318364
449.344860,9.969772
449.710655,6.103808
450.046444,7.934104
450.153885,4.303214
450.312350,10.850036
450.450465,18.930564
451.402832,5.528225
452.033306,7.267266
452.355327,13.229018
452.874019,11.939174
453.681737,9.444868
453.688295,7.037018
454.129087,12.551457
454.138818,22.673628
454.184875,15.731392
454.408627,11.470441
455.290045,6.143333
456.301015,7.458816
456.392411,5.953362
456.696838,8.793229
457.397671,13.495226
457.506030,11.837379
457.791136,13.576626
457.832399,20.306919
458.089891,10.666210
458.109305,12.879252
458.117952,7.700521
458.512318,9.458363
458.619865,4.684001
459.689901,6.471512
459.703944,4.864966
460.838403,7.986750
460.875232,8.208084
461.420534,5.123347
461.640125,6.854652
461.859783,12.738147
462.114344,10.393180
462.297739,11.858112
462.320481,10.314330
462.491316,4.845942
462.519132,9.331281
462.850036,5.177304
463.004160,3.333100
463.571666,11.000368
464.108730,6.726445
464.443880,4.911373
464.642939,16.623679
464.828650,5.583316
464.863638,19.736886
465.762294,10.545257
465.865503,5.985333
466.076141,15.969563
466.476469,9.061936
466.494781,6.722818
467.212938,20.825566
467.654407,3.817274
468.261563,6.284792
468.454907,5.506990
468.481176,12.198096
468.543401,15.619567
469.005508,5.073830
470.337352,20.310553
470.358882,5.802378
471.051951,14.639702
471.152272,12.500346
471.245289,6.233509
471.812865,13.498729
471.933902,8.486875
472.492440,20.006904
472.505401,7.768353
472.636327,12.416848
472.688216,5.876217
472.936311,6.427427
472.992424,14.951812
473.646011,8.320189
474.842983,27.135411
475.206256,13.216583
475.297965,10.100006
475.683722,10.372492
475.820365,11.590798
476.104122,11.522714
476.458635,8.230385
477.029784,9.690042
477.039013,12.119612
477.748185,10.843433
477.790310,10.272797
477.851963,8.843898
478.409269,12.724047
478.578394,9.120569
478.736238,7.713701
478.767993,11.812443
479.061428,12.348259
479.114809,11.096581
479.565224,13.082131
480.707694,7.752710
480.761060,29.230621
480.880922,10.049341
480.921059,14.068885
482.085053,12.036332
482.225960,9.811196
482.364951,13.733859
482.584127,15.633867
482.835333,11.447921
482.912317,7.050357
482.929342,11.400473
483.770991,7.167293
484.090222,6.737622
484.536826,12.813010
484.693010,8.251542
484.846089,15.055439
485.172923,11.827449
485.335280,12.108482
485.526351,10.039364
486.163579,9.146162
486.610962,8.254533
487.264946,8.507355
487.309982,13.441004
487.400964,12.643147
487.443460,12.669665
487.599283,13.207375
488.328271,10.046273
488.330961,9.905809
488.654319,9.778665
488.861842,11.427948
489.203738,9.147692
489.509650,19.142220
490.137685,6.001524
490.346092,19.520939
491.053945,12.279387
491.170258,15.287222
491.278497,9.300120
491.359601,15.760506
491.538585,9.036564
492.047052,8.063242
492.149346,13.150488
492.187052,21.994162
492.758262,5.551534
492.916462,7.972327
493.499830,15.530181
493.669366,16.214241
494.368932,17.802866
494.538616,21.798566
494.676019,17.238705
495.167427,4.301159
495.660276,13.912166
495.869435,13.820570
496.189535,18.496655
496.328988,9.240743
496.668411,8.252033
496.796452,7.021848
497.094402,12.114236
497.673327,11.563077
497.733808,19.842046
498.089290,9.058673
498.480684,13.935369
499.779581,10.736006
499.965193,13.045549
500.144762,9.509002
500.278446,5.788849
500.404750,15.760514
500.643416,8.917089
500.701929,11.380153
501.078478,7.064830
501.483495,22.085580
502.390497,12.669116
502.398002,9.501397
502.722757,11.487393
502.823131,7.957767
503.294696,9.449304
503.845562,14.030941
503.987539,8.794741
504.104557,6.807823
504.804793,9.729179
504.891623,8.023528
504.940858,9.339922
505.112298,13.403547
505.820539,19.136678
506.228531,9.086205
506.690429,5.992948
507.109044,7.688965
507.133372,16.754088
507.597193,10.223968
507.757605,8.239104
507.842621,8.429880
508.491409,5.422701
508.659469,16.239275
509.022231,10.839721
509.054361,7.357930
510.187922,5.021796
510.329262,9.413410
510.424719,18.204041
510.432072,6.526893
511.057453,9.399046
511.356200,13.117514
511.432359,8.830673
511.794483,8.617640
512.124600,21.192510
512.436609,3.723878
512.922596,10.870185
513.058933,9.993168
513.238361,10.210421
513.475982,9.706061
513.600362,7.223430
513.926419,12.096315
514.356749,13.962031
515.036798,18.755014
515.125597,9.933473
515.402078,18.457840
515.503045,19.744517
515.630602,11.773442
515.723335,12.187901
515.800697,8.446587
516.083682,11.075940
517.114306,5.528116
517.763017,17.190128
518.247645,10.173842
518.274951,8.508292
519.176403,4.917692
519.356627,14.792381
519.798156,4.727423
519.987372,12.028864
519.991189,9.433181
520.263015,12.038336
520.445599,7.366372
520.538272,9.453436
521.549900,5.580904
522.048305,13.329510
522.677722,6.003680
522.761612,10.910636
523.270350,9.214206
523.416141,11.238882
523.474076,7.929366
523.548694,3.407640
523.702487,7.310567
524.366005,6.253318
524.409616,8.967698
524.800333,9.297920
525.241182,11.553692
525.598626,20.528405
525.647435,7.359771
525.800927,13.791762
526.554256,6.881576
